pid,position,name,throwing_errors,catching_errors,assists,putouts,innings_played,errors,defensive_chances,fielding_percentage
46524,starter,Toddrick Byrdak,0,0,0,0,6.999999999999997,0,0,
58370,catcher,John Benzschawel,0,0,0,0,6.999999999999997,0,0,
47666,shortstop,Bob Small,0,0,1,1,6.999999999999997,0,2,1.0
39758,centerfield,Dave Eckert,1,1,3,1,6.999999999999997,2,6,0.667
37689,leftfield,Benny Powell,0,0,1,0,6.999999999999997,0,1,1.0
51817,secondbase,Delos Echols,0,0,0,1,6.999999999999997,0,1,1.0
45013,rightfield,Oil Can Vardell,0,0,0,1,6.999999999999997,0,1,1.0
55204,firstbase,Jerry Johnson,0,2,0,8,6.999999999999997,2,10,0.8
66286,thirdbase,Teyo Miraldi,0,0,2,1,6.999999999999997,0,3,1.0
